n threads,m_exec time (s),m_updates / sec,a_exec time (s),a_updates / sec,l_exec time (s),l_updates / sec
1,0.052281,37606275.49,0.022226,88459664.51,0.049481,39734045.75
2,1.312696,1497742.43,0.031424,62566669.30,0.197635,9948017.95
4,0.347515,5657533.61,0.039829,49363274.82,0.373007,5270899.19
8,0.180942,10865793.23,0.050018,39307480.75,0.787580,2496355.78
12,0.145745,13489839.75,0.051579,38117686.42,1.049237,1873818.48
16,0.140661,13977469.99,0.047675,41239497.26,1.459241,1347330.39
24,0.142587,13788654.23,0.049538,39688136.61,2.396090,820536.75
32,0.151801,12951688.22,0.047186,41666666.67,3.109717,632237.65
40,0.156228,12584650.41,0.049341,39846604.52,3.775028,520811.99
48,0.149084,13187724.69,0.047092,41750066.96,4.111867,478147.73